,0,1
0,propertyimages/images/image-89930642-5.jpg,interior
1,propertyimages/images/image-95132222-12.jpg,interior
2,propertyimages/images/image-77493694-7.jpg,interior
3,propertyimages/images/image-83510389-13.jpg,interior
4,propertyimages/images/image-83529487-0.jpg,exterior
5,propertyimages/images/image-83674099-8.jpg,garden
6,propertyimages/images/image-96115625-3.jpg,interior
7,propertyimages/images/image-96094313-5.jpg,interior
8,propertyimages/images/image-83489185-4.jpg,interior
9,propertyimages/images/image-83078002-2.jpg,interior
10,propertyimages/images/image-72514458-16.jpg,interior
11,propertyimages/images/image-72582369-0.jpg,exterior
12,propertyimages/images/image-72542691-9.jpg,garden
13,propertyimages/images/image-72483141-5.jpg,interior
14,propertyimages/images/image-96097043-6.jpg,interior
15,propertyimages/images/image-96128573-7.jpg,interior
16,propertyimages/images/image-82290349-6.jpg,interior
17,propertyimages/images/image-83487172-6.jpg,interior
18,propertyimages/images/image-83529850-0.jpg,interior
19,propertyimages/images/image-72565998-0.jpg,exterior
20,propertyimages/images/image-96104315-0.jpg,exterior
21,propertyimages/images/image-72559566-2.jpg,interior
22,propertyimages/images/image-96148202-1.jpg,garden
23,propertyimages/images/image-72521964-11.jpg,interior
24,propertyimages/images/image-96195695-6.jpg,interior
25,propertyimages/images/image-72565305-12.jpg,interior
26,propertyimages/images/image-96196151-5.jpg,interior
27,propertyimages/images/image-83657440-5.jpg,interior
28,propertyimages/images/image-72520548-0.jpg,interior
29,propertyimages/images/image-96111800-3.jpg,exterior
30,propertyimages/images/image-73119688-3.jpg,interior
31,propertyimages/images/image-83671873-10.jpg,interior
32,propertyimages/images/image-83510566-4.jpg,interior
33,propertyimages/images/image-96109892-2.jpg,interior
34,propertyimages/images/image-96192635-2.jpg,interior
35,propertyimages/images/image-80522290-7.jpg,garden
36,propertyimages/images/image-96102428-10.jpg,interior
37,propertyimages/images/image-83191621-10.jpg,interior
38,propertyimages/images/image-72543780-4.jpg,garden
39,propertyimages/images/image-81986452-4.jpg,interior
40,propertyimages/images/image-96092762-1.jpg,interior
41,propertyimages/images/image-68658183-6.jpg,exterior
42,propertyimages/images/image-71912292-15.jpg,garden
43,propertyimages/images/image-72559977-4.jpg,interior
44,propertyimages/images/image-83633269-9.jpg,garden
45,propertyimages/images/image-71683128-8.jpg,garden
46,propertyimages/images/image-72577992-7.jpg,interior
47,propertyimages/images/image-81781741-6.jpg,exterior
48,propertyimages/images/image-96083348-13.jpg,interior
49,propertyimages/images/image-96080417-0.jpg,interior
